gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3055495	328.1558403	0.383836407	0.149126533	2.573897475	0.010056007	0.024727651
C3055515	137.858136	1.060849278	0.164900777	6.433258197	1.25E-10	1.13E-09
C3055549	427.8949062	-1.455148799	0.130241904	-11.17266219	5.55E-29	2.45E-27
C3055593	398.7110461	0.803732432	0.173322679	4.637202926	3.53E-06	1.78E-05
C3055793	18.02063978	-1.434415803	0.440313319	-3.257716134	0.001123127	0.003511954
C3055855	932.0517724	2.332779595	0.187409025	12.44753069	1.44E-35	9.68E-34
C3055859	431.6139358	1.398058185	0.143257861	9.759032964	1.69E-22	4.55E-21
C3055881	8.327033366	1.718331011	0.691170806	2.486116304	0.012914575	0.030741019
C3056083	32.76764251	-1.23995565	0.305868424	-4.053885766	5.04E-05	0.000208274
C3056289	82.73551777	-0.886112296	0.264705006	-3.347546428	0.000815303	0.002634225
C3056571	7.891611837	-1.951764796	0.643261079	-3.034172065	0.002411968	0.006996985
C3056601	82.68673278	-0.669895828	0.260138504	-2.575150608	0.010019645	0.024652294
C3056607	574.252751	1.092491748	0.160251605	6.817352935	9.27E-12	9.51E-11
C3056763	41.82675841	-3.403100159	0.472534998	-7.201794938	5.94E-13	6.95E-12
C3056803	116.1881953	-2.028132072	0.200081451	-10.13653222	3.80E-24	1.15E-22
C3056829	198.7946701	0.72823741	0.169042878	4.308004087	1.65E-05	7.44E-05
C3056845	128.4565343	-1.427090319	0.188636826	-7.565279512	3.87E-14	5.15E-13
C3056859	6.235131941	1.74135675	0.758374976	2.296168525	0.021666247	0.048059366
C3056873	3.99322389	2.706797812	1.057110712	2.560562276	0.010450293	0.025574085
C3056917	81.04443087	1.852454108	0.295080968	6.277782396	3.43E-10	2.95E-09
C3056963	1.413052857	-4.050910069	1.769825446	-2.288875481	0.022086588	0.048825114
C3056981	15.82492103	1.079892186	0.455722088	2.369628804	0.017805952	0.040480687
C3057125	15.15381601	-4.636787922	0.869089978	-5.335221941	9.54E-08	6.01E-07
C3057165	8.92623684	-3.814173532	0.869014162	-4.389080983	1.14E-05	5.29E-05
C3057197	163.4419362	-0.714071342	0.214856922	-3.323473763	0.000889038	0.002843974
C3057251	15.25475105	1.353695952	0.439052558	3.08322074	0.002047732	0.006039898
C3057271	169.4334527	0.477932512	0.206836978	2.310672475	0.020850953	0.046452129
C3057281	16.24343548	1.337709351	0.517531454	2.584788501	0.009743875	0.024050832
C3057307	97.46107444	0.707587181	0.23943211	2.95527271	0.003123928	0.008798022
C3057417	605.0591021	0.621382307	0.174454323	3.561862472	0.000368233	0.001286936
C3057423	234.3860061	1.325102111	0.229768589	5.767116023	8.06E-09	5.86E-08
C3057643	476.2225694	-0.3288367	0.139506181	-2.357147895	0.018415911	0.041670067
C3057671	236.6093821	1.463496107	0.27002861	5.419781654	5.97E-08	3.88E-07
C3057729	269.9711453	1.483356844	0.244446683	6.068222432	1.29E-09	1.04E-08
C3057793	107.6499827	-0.544563155	0.23516956	-2.315619228	0.020579068	0.045955477
C3057875	112.2545004	-0.845781773	0.180537612	-4.68479538	2.80E-06	1.44E-05
C3057921	1209.629271	-0.418668028	0.132057633	-3.170343275	0.001522589	0.00461833
C3057949	1715.952988	3.930187239	0.252459375	15.56760268	1.21E-54	2.59E-52
C3057959	4.532856862	-3.552609878	1.10717983	-3.208701768	0.001333357	0.004093581
C3058033	275.7249491	-0.480533223	0.158091184	-3.039595322	0.002368962	0.006882862
C3058073	227.9500175	-1.25414514	0.15400267	-8.143658406	3.84E-16	6.06E-15
C3058191	50.84815285	-1.506396691	0.279670324	-5.386330119	7.19E-08	4.63E-07
