gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3050581	39.9307892	-0.778379879	0.325319012	-2.392666432	0.01672644	0.034257992
C3050721	21.202731	7.164727434	1.073936291	6.671464119	2.53E-11	1.60E-10
C3050785	276.0140239	1.34416263	0.174278341	7.712734833	1.23E-14	1.02E-13
C3050953	5.733763448	4.51765494	1.140751158	3.960245764	7.49E-05	0.000235926
C3050997	110.3064873	2.543886085	0.238523018	10.66515971	1.48E-26	2.56E-25
C3051015	394.6989224	2.180998457	0.142190763	15.33853823	4.23E-53	2.53E-51
C3051017	102.2190878	-0.449964	0.186917202	-2.407290475	0.016071381	0.033034126
C3051021	279.6499093	-0.386323847	0.159496093	-2.422152413	0.015428878	0.031888445
C3051125	197.7272524	-1.513799254	0.168249644	-8.997340022	2.31E-19	2.64E-18
C3051133	37.06027574	-1.237019201	0.329851806	-3.750227156	0.000176674	0.000526753
C3051159	10.2794993	-1.863975764	0.600509621	-3.103989843	0.001909299	0.004826602
C3051161	406.0566684	3.627253854	0.184531954	19.65650813	5.09E-86	8.68E-84
C3051317	87.59389695	1.301547907	0.22053613	5.901744552	3.60E-09	1.87E-08
C3051445	8.823396424	2.190471003	0.603232796	3.631220015	0.000282085	0.000815905
C3051471	16.73848385	1.040155149	0.437090268	2.379726172	0.017325507	0.035350517
C3051543	162.0853772	0.824494522	0.154133214	5.349233291	8.83E-08	3.96E-07
C3051553	17.2646723	-1.867671761	0.459536257	-4.064253328	4.82E-05	0.000155797
C3051555	3912.266503	0.257275404	0.104976231	2.450796725	0.014254042	0.029752897
C3051621	11.18758252	1.888851263	0.592213344	3.189477714	0.001425301	0.003691346
C3051669	2.447453389	-4.694662966	1.406548478	-3.337718564	0.000844693	0.002269502
C3051673	107.3566318	-0.944076299	0.198129458	-4.764946657	1.89E-06	7.34E-06
C3051753	494.4062799	0.735186315	0.135322573	5.432843177	5.55E-08	2.55E-07
C3051771	95.86235503	-0.673965069	0.217099859	-3.104401231	0.001906646	0.00482131
C3051779	631.163586	0.745194307	0.135661509	5.493041555	3.95E-08	1.85E-07
C3051781	367.0385027	2.950949888	0.155420985	18.98681756	2.19E-80	3.20E-78
C3051791	1.776515932	3.485504908	1.54092472	2.261956644	0.023700082	0.046778549
C3051865	7.476156704	-1.516818135	0.599091541	-2.531863714	0.011345808	0.024294522
C3051899	42.07882382	1.239423492	0.315369889	3.930062872	8.49E-05	0.000265221
C3051907	50.89128785	-0.549382086	0.230506048	-2.383373848	0.017154763	0.035043626
C3051935	302.4428804	-0.339054205	0.145654171	-2.327802927	0.019922571	0.040112824
C3051991	36.62850669	-1.594826258	0.302774811	-5.267367687	1.38E-07	6.08E-07
C3052083	92.9067326	1.324999807	0.274277156	4.830879192	1.36E-06	5.37E-06
C3052085	7.928560463	-1.566952736	0.648273339	-2.417117352	0.015643973	0.032263353
C3052105	31.14509189	0.883185503	0.299313744	2.95070147	0.003170532	0.007672767
C3052207	251.2636373	-1.007448134	0.162005879	-6.21858998	5.02E-10	2.81E-09
C3052213	112.9020837	2.912994738	0.239940271	12.14049951	6.44E-34	1.61E-32
C3052289	234.0089208	1.39405024	0.220386265	6.325486032	2.52E-10	1.45E-09
C3052339	2.285435433	-3.77541729	1.515829056	-2.490661645	0.012750548	0.02694423
